S.No,Course Name,Timing
313,SPL TOPICS IN HARDWARE SYSTEMS-COL861,"MW 11:00-12:00 ,Th 12:00-13:00"
314,SPL. TOPICS IN THEO. COMP. SC.-COL863,MTh 08:00-09:30
315,SPECIAL TOPICS IN ALGORITHMS-COL866,TF 14:00-15:30
316,SPL. TOPICS IN HIGH SPEED NET.-COL867,TF 15:30-17:00
317,SPL. TOPICS IN DATABASE SYST.-COL868,MTh 14:00-15:30
318,TEACHING PRACTICUM IN COMPUTER SCIENCE AND ENGINEERING-CON800,
319,RESEARCH PRACTICUM IN COMPUTER SCIENCE AND ENGINEERING-CON801,
320,DESIGN PRACTICES-COP290,
321,INDEPENDENT STUDY (CS)-COS310,
322,INDEPENDENT STUDY-COS799,
323,SPL. MODULE IN ARTIFICIAL INT.-COV884,
324,M.TECH PROJECT PART-II-JCD893,
325,CYBER SECURITY AND INFORMATION ASSURANCE LAB-JCP810,
326,MTECH MINOR PROJECT-JRD891,
327,MTECH PROJECT PART II-JRD893,
328,DEGREES OF FREEDOM AND CONSTRAINTS IN DEVICES-JRL747,MTh 09:30-11:00
329,COMPUTER VISION FOR ROBOTICS-JRL780,MTh 15:30-17:00
330,DESIGN PROJECT-1-DDD120,
331,DESIGN PROJECT-2 (SIMPLE PRODUCT DESIGN)-DDD320,
332,DESIGN PROJECT-4 (DISSERTATION PROJECT / THESIS)-DDD410,
333,DESIGN PROJECT 1-DDD792,
334,DESIGN PROJECT-DDD799,T 18:15-21:15
335,INDUSTRY/ RESEARCH DESIGN PRO.-DDD892,
336,FUNDAMENTALS OF DESIGN-DDL116,
337,PRODUCT VISUALIZATION TECHNIQUES-DDL121,TF 14:00-15:30
338,EXPLORATORY DESIGN METHODS-DDL122,MTh 15:30-17:00
339,DESIGN WITH CONTEMPORARY TECHNOLOGIES-DDL124,TF 15:30-17:00
340,TYPOGRAPHY AND LAYOUT-DDL126,
341,DESIGN RESEARCH METHODS-DDL222,W 18:15-21:15
342,COGNITIVE ERGONOMICS-DDL223,
343,STORYTELLING AND FILM MAKING-DDL224,
344,MARKET RESEARCH AND TREND ANALYSIS-DDL225,TF 15:30-17:00
345,SYSTEM ORIENTED DESIGN-DDL226,
346,EXHIBITION AND SPACE DESIGN-DDL228,
347,MODEL MAKING-DDL321,
348,ANIMATION DESIGN-DDL715,
349,ADV MAT PROCESSES & DIE DESIGN-DDL732,TWF 10:00-11:00
350,DESIGN RESEARCH METHODOLOGY-DDL768,MTh 15:30-17:00
351,SPECIAL TOPICS IN DESIGN 1-DDL810,T 18:15-21:15
352,SPECIAL TOPICS IN DESIGN 2-DDL820,MTh 15:30-17:00
353,COMPUTER AIDED VISUALIZATION-DDP113,MTh 14:00-15:30
354,COMP.  AIDED PRODUCT DETAILING-DDP711,
355,PRODUCT INTERFACE & DESIGN-DDP741,MTh 09:30-11:00
356,INDUSTRY INTERNSHIP-DDR324,
357,DESIGN FOR SUSTAINABILITY-DDR822,
358,DESIGN FOR USER EXPERIENCE-DDR832,MTh 15:30-17:00
359,DESIGN IN INDIAN CONTEXT-DDR862,TF 14:00-15:30
360,DOCTORAL THESIS-DTD899,
361,B.TECH. PROJECT - I-ELD411,
362,B.TECH. PROJECT - I-ELD431,
363,BTP PART-II-ELD450,
364,BTP PART-II-ELD451,
365,BTP PART-II-ELD452,
366,BTP PART-II-ELD453,
367,BTP PART-II-ELD454,
368,BTP PART-II-ELD455,
